,path,label,method,duration,tester_id
0,wav2lip_data/video/h264_test/DCIL2nvU4x8/0_t298_t298.mp4,0,0,2.66,0
1,wav2lip_data/video/h264_test/q2k2Xbfuy1I/3_18948_11668.mp4,1,3,2.01,0
2,wav2lip_data/video/h264_test/18uDutylDa4/1_t21_t1242.mp4,1,1,4.09,0
3,wav2lip_data/video/h264_test/7Y9W1Gex660/1_3676_26944.mp4,1,1,5.41,0
4,wav2lip_data/video/h264_test/SFnMTHhKdkw/4_t921_t922.mp4,1,4,1.22,0
5,wav2lip_data/video/h264_test/QKHkSUiQboA/1_t815_t358.mp4,1,1,1.67,0
6,wav2lip_data/video/h264_test/IWdzrZdRa38/3_t517_t164.mp4,1,3,1.04,0
7,wav2lip_data/video/h264_test/YeXcNpVkezI/2_26296_26300.mp4,1,2,6.06,0
8,wav2lip_data/video/h264_test/3NzgEwye6Uk/4_1491_1499.mp4,1,4,2.7,0
9,wav2lip_data/video/h264_test/sgTjCpBOeCU/3_21060_12042.mp4,1,3,4.51,0
10,wav2lip_data/video/h264_test/7hQ0rgVfsP8/0_t137_t137.mp4,0,0,1.5,0
11,wav2lip_data/video/h264_test/6wNif5SlN08/1_t126_t559.mp4,1,1,2.36,0
12,wav2lip_data/video/h264_test/mc0vhSseGk4/1_t647_t537.mp4,1,1,3.19,0
13,wav2lip_data/video/h264_test/HAKea48B3oM/1_11456_24201.mp4,1,1,4.05,0
14,wav2lip_data/video/h264_test/5Jqk1rkuUwU/2_2430_2436.mp4,1,2,1.23,0
15,wav2lip_data/video/h264_test/PSlBlZ3hqKc/3_t784_t647.mp4,1,3,4.53,0
16,wav2lip_data/video/h264_test/f6CILJA110Y/1_9406_19260.mp4,1,1,5.08,0
17,wav2lip_data/video/h264_test/luoKOkTxOtU/1_15345_22736.mp4,1,1,6.32,0
18,wav2lip_data/video/h264_test/NWUFjb8w9Ps/3_17221_19180.mp4,1,3,2.57,0
19,wav2lip_data/video/h264_test/7npLVcymHGc/3_3445_17185.mp4,1,3,1.21,0
20,wav2lip_data/video/h264_test/4sg9TlsMRVA/3_2075_1869.mp4,1,3,1.88,0
21,wav2lip_data/video/h264_test/V1yW5IsnSjo/4_t1091_t1086.mp4,1,4,5.68,0
22,wav2lip_data/video/h264_test/qsJYrwzfd6w/2_t826_t825.mp4,1,2,1.74,0
23,wav2lip_data/video/h264_test/o1abyP4zfGg/4_17378_17377.mp4,1,4,3.12,0
24,wav2lip_data/video/h264_test/MsLuQM5V3FA/3_t666_t692.mp4,1,3,2.0,0
25,wav2lip_data/video/h264_test/VSLurJfOSiA/0_t1129_t1129.mp4,0,0,5.02,0
26,wav2lip_data/video/h264_test/xTkKSJSqUSI/4_t1202_t1207.mp4,1,4,1.23,0
27,wav2lip_data/video/h264_test/m0ZPM5I1tTg/1_15524_17586.mp4,1,1,3.81,0
28,wav2lip_data/video/h264_test/UAj1hsXp18c/2_t1042_t1039.mp4,1,2,1.77,0
29,wav2lip_data/video/h264_test/AoAbPIbGLUo/2_5140_5132.mp4,1,2,5.84,0
30,wav2lip_data/video/h264_test/pCd8KLukRV8/2_18395_18391.mp4,1,2,3.69,0
31,wav2lip_data/video/h264_test/qWNae7vYK6s/0_t831_t831.mp4,0,0,1.26,0
32,wav2lip_data/video/h264_test/FnL7I6tESAs/1_9909_19463.mp4,1,1,3.03,0
33,wav2lip_data/video/h264_test/OwgWkUIm9Gc/4_t753_t752.mp4,1,4,2.7,0
34,wav2lip_data/video/h264_test/Zwwanld4T1w/0_27612_27612.mp4,0,0,1.26,0
35,wav2lip_data/video/h264_test/UxLRv0FEndM/2_23554_23553.mp4,1,2,2.86,0
36,wav2lip_data/video/h264_test/HSercnrqeN4/2_t481_t480.mp4,1,2,1.11,0
37,wav2lip_data/video/h264_test/ZBuT2wdYtpM/3_27038_8269.mp4,1,3,6.03,0
38,wav2lip_data/video/h264_test/Zctk6MZaxMk/2_27068_27065.mp4,1,2,1.52,0
39,wav2lip_data/video/h264_test/oKtALHe3Y9Q/2_17758_17777.mp4,1,2,3.62,0
40,wav2lip_data/video/h264_test/BT2XlI8oeh0/0_6512_6512.mp4,0,0,3.62,0
41,wav2lip_data/video/h264_test/SN7wO06Yz1E/2_t931_t932.mp4,1,2,2.01,0
42,wav2lip_data/video/h264_test/7OMLSs8t1ng/4_t151_t145.mp4,1,4,1.69,0
43,wav2lip_data/video/h264_test/bLGTrz1Zolk/4_6101_6108.mp4,1,4,5.98,0
44,wav2lip_data/video/h264_test/27lMmdmySb8/3_t54_t659.mp4,1,3,4.06,0
45,wav2lip_data/video/h264_test/VfAiNX7jn9A/4_t1109_t1107.mp4,1,4,1.63,0
46,wav2lip_data/video/h264_test/abMQhaMdQu0/0_4795_4795.mp4,0,0,2.86,0
47,wav2lip_data/video/h264_test/2dnSoGaEHxs/1_942_8281.mp4,1,1,6.02,0
48,wav2lip_data/video/h264_test/y6MC4iXhT6I/3_t1224_t178.mp4,1,3,1.55,0
49,wav2lip_data/video/h264_test/2UStOghblfE/3_t67_t200.mp4,1,3,1.22,0
50,wav2lip_data/video/h264_test/CFtsHf1lVI4/3_7083_3551.mp4,1,3,2.14,0
51,wav2lip_data/video/h264_test/xTkKSJSqUSI/0_t1208_t1208.mp4,0,0,2.74,0
52,wav2lip_data/video/h264_test/QISHX5UKky0/2_19305_19306.mp4,1,2,1.98,0
53,wav2lip_data/video/h264_test/xTkKSJSqUSI/2_t1210_t1212.mp4,1,2,2.15,0
54,wav2lip_data/video/h264_test/D8SSLLnV3W8/0_t297_t297.mp4,0,0,1.58,0
55,wav2lip_data/video/h264_test/IjbTiRbeNpM/3_t490_t178.mp4,1,3,1.55,0
56,wav2lip_data/video/h264_test/RaSlxoAUP5c/2_t840_t841.mp4,1,2,2.35,0
57,wav2lip_data/video/h264_test/7ZymFMmpOa0/2_t157_t162.mp4,1,2,2.96,0
58,wav2lip_data/video/h264_test/XFOkSdlPafQ/0_25571_25571.mp4,0,0,4.34,0
59,wav2lip_data/video/h264_test/PbgB2TaYhio/3_t770_t635.mp4,1,3,1.69,0
60,wav2lip_data/video/h264_test/XESFPEFpHt4/0_t1181_t1181.mp4,0,0,1.78,0
